"No.","Time","Source","Destination","Protocol","Length","Info"
"445","128.174806","192.168.0.251","65.55.119.90","HTTP","151","GET /ncsi.txt HTTP/1.1 "
"29274","14895.069177","192.168.0.251","67.212.77.13","HTTP","344","GET /v2/ip_query_country.php?key=a9df22c8f8a377ac9a5e32a49cfa90a81baff6855766206fc7285a371f8b5b47&timezone=off HTTP/1.1 "
"29305","14896.665962","192.168.0.250","67.212.77.13","HTTP","344","GET /v2/ip_query_country.php?key=a9df22c8f8a377ac9a5e32a49cfa90a81baff6855766206fc7285a371f8b5b47&timezone=off HTTP/1.1 "
"29325","14903.217998","192.168.0.251","205.251.133.247","HTTP","371","GET /ref.php?id=60934 HTTP/1.1 "
"29339","14903.756783","192.168.0.251","205.251.133.247","HTTP","431","GET /index.php HTTP/1.1 "
"29417","14904.732925","192.168.0.250","205.251.133.247","HTTP","371","GET /ref.php?id=60934 HTTP/1.1 "
"29425","14904.808045","192.168.0.251","72.246.216.42","HTTP","415","GET /button/buttons.js HTTP/1.1 "
"29439","14904.851799","192.168.0.251","205.251.133.247","HTTP","501","GET /js/uniform/css/uniform.default.css HTTP/1.1 "
"29441","14904.852223","192.168.0.251","205.251.133.247","HTTP","491","GET /js/jdpicker/jdpicker.css HTTP/1.1 "
"29444","14904.852592","192.168.0.251","205.251.133.247","HTTP","497","GET /js/visualize/css/visualize.css HTTP/1.1 "
"29449","14904.853311","192.168.0.251","205.251.133.247","HTTP","504","GET /js/fancybox/jquery.fancybox-1.3.4.css HTTP/1.1 "
"29459","14904.854209","192.168.0.251","205.251.133.247","HTTP","480","GET /css/style.css HTTP/1.1 "
"29468","14904.855152","192.168.0.251","205.251.133.247","HTTP","497","GET /js/jwysiwyg/jquery.wysiwyg.css HTTP/1.1 "
"29470","14904.855727","192.168.0.251","205.251.133.247","HTTP","486","GET /css/themes/blue.css HTTP/1.1 "
"29472","14904.856036","192.168.0.251","205.251.133.247","HTTP","489","GET /js/jquery-1.6.2.min.js HTTP/1.1 "
"29474","14904.856334","192.168.0.251","205.251.133.247","HTTP","477","GET /css/ie.css HTTP/1.1 "
"29476","14904.856665","192.168.0.251","205.251.133.247","HTTP","480","GET /css/ltie8.css HTTP/1.1 "
"29516","14904.863293","192.168.0.251","205.251.133.247","HTTP","497","GET /js/jdpicker/jquery.jdpicker.js HTTP/1.1 "
"29518","14904.863583","192.168.0.251","205.251.133.247","HTTP","500","GET /js/jquery-ui-1.8.14.custom.min.js HTTP/1.1 "
"29520","14904.863930","192.168.0.251","205.251.133.247","HTTP","499","GET /js/uniform/jquery.uniform.min.js HTTP/1.1 "
"29522","14904.864257","192.168.0.251","205.251.133.247","HTTP","487","GET /js/jquery.hotkeys.js HTTP/1.1 "
"29524","14904.864605","192.168.0.251","205.251.133.247","HTTP","499","GET /js/visualize/visualize.jQuery.js HTTP/1.1 "
"29526","14904.865077","192.168.0.251","205.251.133.247","HTTP","486","GET /js/jquery.cookie.js HTTP/1.1 "
"29528","14904.865343","192.168.0.251","205.251.133.247","HTTP","508","GET /js/fancybox/jquery.fancybox-1.3.4.pack.js HTTP/1.1 "
"29530","14904.865696","192.168.0.251","205.251.133.247","HTTP","496","GET /js/jwysiwyg/jquery.wysiwyg.js HTTP/1.1 "
"29532","14904.866045","192.168.0.251","205.251.133.247","HTTP","486","GET /js/jquery.tables.js HTTP/1.1 "
"29534","14904.866403","192.168.0.251","205.251.133.247","HTTP","477","GET /js/main.js HTTP/1.1 "
"29583","14904.996146","192.168.0.251","205.251.223.121","HTTP","436","GET /site_stats/js/s/a?url=www.claimfans.com HTTP/1.1 "
"29847","14905.125680","192.168.0.251","72.21.195.1","HTTP","416","GET /translate-this.js HTTP/1.1 "
"29853","14905.149609","192.168.0.250","205.251.133.247","HTTP","431","GET /index.php HTTP/1.1 "
"30466","14906.720618","192.168.0.250","72.246.216.42","HTTP","415","GET /button/buttons.js HTTP/1.1 "
"30518","14906.765320","192.168.0.250","205.251.133.247","HTTP","501","GET /js/uniform/css/uniform.default.css HTTP/1.1 "
"30524","14906.765703","192.168.0.250","205.251.133.247","HTTP","497","GET /js/visualize/css/visualize.css HTTP/1.1 "
"30526","14906.766018","192.168.0.250","205.251.133.247","HTTP","504","GET /js/fancybox/jquery.fancybox-1.3.4.css HTTP/1.1 "
"30528","14906.766347","192.168.0.250","205.251.133.247","HTTP","491","GET /js/jdpicker/jdpicker.css HTTP/1.1 "
"30535","14906.768792","192.168.0.250","205.251.133.247","HTTP","480","GET /css/style.css HTTP/1.1 "
"30541","14906.769300","192.168.0.250","205.251.133.247","HTTP","497","GET /js/jwysiwyg/jquery.wysiwyg.css HTTP/1.1 "
"30543","14906.769527","192.168.0.250","205.251.133.247","HTTP","480","GET /css/ltie8.css HTTP/1.1 "
"30549","14906.770390","192.168.0.250","205.251.133.247","HTTP","486","GET /css/themes/blue.css HTTP/1.1 "
"30553","14906.770860","192.168.0.250","205.251.133.247","HTTP","477","GET /css/ie.css HTTP/1.1 "
"30564","14906.773183","192.168.0.250","205.251.133.247","HTTP","489","GET /js/jquery-1.6.2.min.js HTTP/1.1 "
"30570","14906.773613","192.168.0.250","205.251.133.247","HTTP","500","GET /js/jquery-ui-1.8.14.custom.min.js HTTP/1.1 "
"30574","14906.774040","192.168.0.250","205.251.133.247","HTTP","487","GET /js/jquery.hotkeys.js HTTP/1.1 "
"30576","14906.774385","192.168.0.250","205.251.133.247","HTTP","499","GET /js/uniform/jquery.uniform.min.js HTTP/1.1 "
"30578","14906.774677","192.168.0.250","205.251.133.247","HTTP","497","GET /js/jdpicker/jquery.jdpicker.js HTTP/1.1 "
"30585","14906.777638","192.168.0.250","205.251.133.247","HTTP","499","GET /js/visualize/visualize.jQuery.js HTTP/1.1 "
"30597","14906.778417","192.168.0.250","205.251.133.247","HTTP","508","GET /js/fancybox/jquery.fancybox-1.3.4.pack.js HTTP/1.1 "
"30599","14906.778631","192.168.0.250","205.251.133.247","HTTP","486","GET /js/jquery.cookie.js HTTP/1.1 "
"30601","14906.778855","192.168.0.250","205.251.133.247","HTTP","496","GET /js/jwysiwyg/jquery.wysiwyg.js HTTP/1.1 "
"30603","14906.779124","192.168.0.250","205.251.133.247","HTTP","486","GET /js/jquery.tables.js HTTP/1.1 "
"30608","14906.780251","192.168.0.250","205.251.133.247","HTTP","477","GET /js/main.js HTTP/1.1 "
"31018","14907.516832","192.168.0.250","205.251.223.121","HTTP","436","GET /site_stats/js/s/a?url=www.claimfans.com HTTP/1.1 "
"31020","14907.517106","192.168.0.250","72.21.195.1","HTTP","416","GET /translate-this.js HTTP/1.1 "
"31491","14908.985721","192.168.0.251","205.251.133.247","HTTP","477","GET /img/bg.jpg HTTP/1.1 "
"31703","14910.349416","192.168.0.251","72.246.216.25","HTTP","425","GET /button/checkOAuth.esi HTTP/1.1 "
"31713","14910.394264","192.168.0.251","205.251.133.247","HTTP","485","GET /images/recover.png HTTP/1.1 "
"31722","14910.395772","192.168.0.251","205.251.133.247","HTTP","485","GET /img/logo_black.png HTTP/1.1 "
"31724","14910.396144","192.168.0.251","205.251.133.247","HTTP","485","GET /images/youtube.png HTTP/1.1 "
"31726","14910.396556","192.168.0.251","205.251.133.247","HTTP","485","GET /images/twitter.png HTTP/1.1 "
"31728","14910.396959","192.168.0.251","205.251.133.247","HTTP","486","GET /images/facebook.png HTTP/1.1 "
"31738","14910.398213","192.168.0.251","205.251.133.247","HTTP","485","GET /images/website.png HTTP/1.1 "
"31745","14910.398956","192.168.0.251","205.251.133.247","HTTP","484","GET /images/google.png HTTP/1.1 "
"31747","14910.399416","192.168.0.251","205.251.133.247","HTTP","489","GET /images/stumbleupon.png HTTP/1.1 "
